"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"634",669456,"Bieber, Shane","634","100.0","0.178","0.127","0.274","0.306","0.247","0.251","0.176","28","157","89.0","10.5","2469","87.8","87.83","126","311","323","0.0","6.52","111","155","118","149","296","324","297"
"619",545333,"Bauer, Trevor","619","100.0","0.138","0.159","0.150","0.297","0.216","0.239","0.173","19","138","89.9","18.6","2908","87.7","71.57","87","289","330","-16.1","6.44","113","157","116","148","299","319","291"
"599",543037,"Cole, Gerrit","599","100.0","0.178","0.059","0.315","0.237","0.191","0.198","0.167","24","135","92.1","20.1","2525","91.5","91.67","106","297","302","0.2","6.53","111","156","120","150","298","326","286"
"578",506433,"Darvish, Yu","578","100.0","0.172","0.149","0.235","0.321","0.256","0.284","0.210","23","134","86.0","18.7","2622","86.2","86.23","71","254","324","0.0","6.39","119","155","133","146","297","317","310"
"572",607192,"Glasnow, Tyler","572","100.0","0.144","0.083","0.230","0.227","0.198","0.225","0.162","19","132","89.5","17.4","2591","92.5","94.13","102","273","299","1.6","7.36","107","160","118","148","305","321","293"
"568",607644,"Means, John","568","100.0","0.163","0.124","0.186","0.287","0.226","0.278","0.202","21","129","86.0","18.7","2361","87.2","86.56","87","276","292","-0.6","6.10","107","153","118","149","307","324","295"
"558",605400,"Nola, Aaron","558","100.0","0.218","0.127","0.277","0.345","0.256","0.276","0.230","31","142","87.2","11.1","2077","86.4","87.16","74","279","279","0.8","6.83","111","150","115","149","297","325","295"
"556",608566,"Márquez, Germán","556","100.0","0.242","0.117","0.310","0.358","0.315","0.326","0.237","29","120","85.5","2.1","2262","90.4","89.36","73","252","304","-1.0","5.37","111","151","116","148","304","332","302"
"553",605135,"Bassitt, Chris","553","100.0","0.244","0.145","0.312","0.389","0.316","0.311","0.240","32","131","87.9","11.3","2193","88.9","88.90","71","272","281","0.0","6.40","113","150","121","155","298","323","300"
"551",425844,"Greinke, Zack","551","100.0","0.259","0.173","0.287","0.432","0.309","0.292","0.248","36","139","84.5","15.1","2147","83.7","83.30","55","249","302","-0.4","5.93","114","156","117","152","291","321","291"
"550",592351,"Gray, Jon","550","100.0","0.220","0.126","0.263","0.346","0.283","0.286","0.224","28","127","85.9","4.5","2169","89.3","89.75","59","235","315","0.5","6.33","111","153","119","148","304","332","305"
"547",518516,"Bumgarner, Madison","547","100.0","0.241","0.190","0.300","0.431","0.322","0.338","0.253","28","116","90.2","22.4","2538","85.8","86.23","68","260","287","0.4","6.57","106","153","118","149","309","332","305"
"544",645261,"Alcantara, Sandy","544","100.0","0.195","0.117","0.242","0.313","0.256","0.255","0.204","25","128","87.9","10.3","2299","93.9","93.24","80","267","277","-0.7","5.98","112","151","118","147","297","312","291"
"540",543135,"Eovaldi, Nathan","540","100.0","0.248","0.098","0.327","0.346","0.284","0.275","0.232","33","133","86.1","7.9","2090","90.3","90.78","75","275","265","0.5","6.55","113","158","118","148","285","317","303"
"536",641154,"López, Pablo","536","100.0","0.220","0.110","0.278","0.331","0.265","0.291","0.235","28","127","83.9","8.5","2076","90.2","91.10","66","266","270","0.9","6.82","109","151","119","148","296","318","295"
"533",477132,"Kershaw, Clayton","533","100.0","0.210","0.098","0.267","0.308","0.236","0.259","0.216","30","143","86.4","10.8","2630","86.7","86.60","90","263","270","-0.1","6.30","110","158","113","148","301","315","290"
"525",642232,"Yarbrough, Ryan","525","100.0","0.274","0.111","0.327","0.385","0.308","0.316","0.279","37","135","83.1","18.4","2159","79.7","79.81","62","263","262","0.1","6.60","103","155","119","147","305","320","291"
"513",453562,"Arrieta, Jake","513","100.0","0.242","0.192","0.270","0.433","0.316","0.337","0.255","29","120","90.5","15.3","2270","88.3","87.51","46","217","296","-0.8","5.91","114","154","114","149","292","322","297"
"511",554430,"Wheeler, Zack","511","100.0","0.212","0.124","0.270","0.336","0.277","0.292","0.225","24","113","87.8","14.5","2354","93.7","95.10","66","251","260","1.4","7.11","112","151","117","150","300","324","296"
"509",622608,"Senzatela, Antonio","509","100.0","0.298","0.210","0.314","0.508","0.366","0.336","0.287","37","124","89.3","5.3","2090","89.7","89.93","38","235","274","0.2","6.16","109","151","121","148","306","334","304"
"507",571510,"Boyd, Matthew","507","100.0","0.203","0.078","0.240","0.281","0.241","0.302","0.242","26","128","86.7","19.8","2249","85.2","84.94","53","253","254","-0.3","6.21","106","153","119","146","299","331","298"
"496",642547,"Peralta, Freddy","496","100.0","0.146","0.167","0.229","0.313","0.262","0.237","0.129","14","96","86.0","19.3","2331","87.7","88.68","77","208","288","1.0","7.17","110","156","119","150","301","324","295"
"494",502043,"Gibson, Kyle","494","100.0","0.220","0.057","0.281","0.276","0.256","0.276","0.223","27","123","88.4","7.5","2296","88.8","89.36","69","231","263","0.6","6.70","114","156","117","148","295","319","294"
"493",656427,"Flaherty, Jack","493","100.0","0.190","0.160","0.225","0.350","0.271","0.329","0.245","19","100","90.6","14.5","2269","87.8","88.62","55","216","277","0.8","6.81","114","158","120","148","300","321","300"
"487",621121,"McCullers Jr., Lance","487","100.0","0.152","0.065","0.213","0.217","0.246","0.297","0.199","14","92","90.5","6.9","2451","88.1","87.65","67","191","296","-0.4","6.08","112","154","118","151","290","325","294"
"485",592332,"Gausman, Kevin","485","100.0","0.160","0.109","0.193","0.269","0.219","0.310","0.234","19","119","88.9","11.7","2004","89.1","88.96","73","242","243","-0.1","6.36","114","159","114","151","297","326","294"
"482",453286,"Scherzer, Max","482","100.0","0.204","0.204","0.246","0.407","0.280","0.305","0.223","22","108","90.4","24.5","2319","89.0","89.00","79","233","249","0.0","6.30","110","156","119","149","299","316","300"
"478",594835,"Gonzales, Marco","478","100.0","0.250","0.250","0.263","0.500","0.345","0.409","0.305","27","108","91.4","20.0","2214","83.2","83.11","39","220","258","-0.1","6.32","109","154","115","146","298","324","297"
"475",572971,"Keuchel, Dallas","475","100.0","0.254","0.136","0.273","0.390","0.312","0.367","0.299","30","118","85.9","2.0","1915","84.1","83.95","44","212","263","-0.1","6.12","110","151","116","148","300","320","293"
"475",640455,"Manaea, Sean","475","100.0","0.248","0.128","0.304","0.376","0.289","0.282","0.223","27","109","89.2","13.8","1836","88.0","89.11","67","236","239","1.1","7.14","109","150","123","153","300","326","299"
"474",657277,"Webb, Logan","474","100.0","0.300","0.155","0.380","0.455","0.361","0.296","0.228","33","110","85.7","0.2","2030","88.0","88.78","58","204","270","0.8","6.77","110","154","114","148","299","322","293"
"474",501985,"Minor, Mike","474","100.0","0.248","0.238","0.279","0.485","0.344","0.352","0.249","25","101","88.7","14.2","2569","86.6","85.72","57","218","256","-0.9","5.58","106","156","112","145","300","320","291"
"473",594798,"deGrom, Jacob","473","100.0","0.136","0.136","0.241","0.271","0.184","0.190","0.141","16","118","89.3","16.9","2360","96.2","97.45","118","284","189","1.2","6.95","118","156","119","150","298","328","297"
"472",650644,"Civale, Aaron","472","100.0","0.188","0.137","0.207","0.325","0.254","0.280","0.222","22","117","86.6","7.9","2319","85.9","85.46","48","221","251","-0.4","5.82","113","155","120","150","295","325","300"
"471",593423,"Montas, Frankie","471","100.0","0.286","0.257","0.320","0.543","0.368","0.337","0.249","30","105","88.9","12.0","2299","93.3","92.81","66","255","216","-0.5","6.04","113","149","123","158","297","324","303"
"470",621111,"Buehler, Walker","470","100.0","0.237","0.144","0.289","0.381","0.273","0.325","0.267","28","118","89.2","11.7","2780","91.2","91.39","63","236","234","0.2","6.43","112","157","115","149","300","323","295"
"468",664353,"Urquidy, José","468","100.0","0.260","0.192","0.295","0.452","0.327","0.326","0.249","27","104","85.2","23.0","2212","86.4","85.94","51","238","230","-0.5","6.01","114","157","119","151","293","325","294"
"465",641816,"Mahle, Tyler","465","100.0","0.159","0.091","0.240","0.250","0.241","0.260","0.170","14","88","87.9","17.1","2476","91.5","91.86","67","208","257","0.4","6.61","112","157","119","150","296","320","296"
"463",579328,"Kikuchi, Yusei","463","100.0","0.214","0.152","0.238","0.366","0.289","0.332","0.261","24","112","90.2","6.5","2375","90.3","90.77","60","218","245","0.5","6.55","107","154","115","147","299","331","296"
"462",666120,"Anderson, Ian","462","100.0","0.196","0.108","0.250","0.304","0.263","0.329","0.253","20","102","84.2","-2.4","1920","89.1","90.09","65","212","250","1.0","6.92","108","152","122","152","300","321","295"
"458",608337,"Giolito, Lucas","458","100.0","0.222","0.182","0.279","0.404","0.303","0.308","0.232","22","99","87.5","16.6","2067","88.3","89.21","69","244","214","0.9","6.85","112","149","116","150","300","319","292"
"455",601713,"Pivetta, Nick","455","100.0","0.176","0.106","0.237","0.282","0.281","0.332","0.232","15","85","90.2","17.1","2361","89.4","89.58","55","212","243","0.2","6.57","109","154","119","147","284","321","299"
