"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"635",605483,"Snell, Blake","635","100.0","0.151","0.135","0.221","0.286","0.227","0.304","0.211","19","126","91.6","17.1","2374","90.7","91.30","106","307","328","0.6","6.75","116","153","130","147","304","324","313"
"623",621111,"Buehler, Walker","623","100.0","0.179","0.103","0.235","0.283","0.237","0.257","0.211","26","145","86.1","6.3","2391","91.0","91.24","90","315","308","0.2","6.33","114","155","118","150","295","316","295"
"620",641816,"Mahle, Tyler","620","100.0","0.237","0.170","0.300","0.407","0.293","0.294","0.233","32","135","84.2","13.5","2213","90.0","90.50","77","285","335","0.5","6.56","115","154","117","149","288","318","287"
"618",621121,"McCullers Jr., Lance","618","100.0","0.239","0.127","0.308","0.366","0.309","0.305","0.229","32","134","88.3","5.1","2445","88.6","87.70","78","260","358","-0.9","5.91","112","156","121","151","290","314","289"
"618",543475,"Lyles, Jordan","618","100.0","0.329","0.287","0.353","0.615","0.416","0.402","0.307","47","143","89.5","9.8","2347","88.2","88.97","71","298","320","0.8","6.70","113","157","124","145","306","327","300"
"606",502043,"Gibson, Kyle","606","100.0","0.234","0.109","0.261","0.343","0.278","0.301","0.245","32","137","88.1","5.9","2181","88.4","89.03","47","276","330","0.6","6.68","109","151","114","149","300","327","296"
"604",554430,"Wheeler, Zack","604","100.0","0.222","0.154","0.265","0.377","0.276","0.286","0.232","36","162","83.4","6.9","2376","93.8","95.34","86","334","270","1.5","7.16","114","152","111","150","295","321","293"
"603",656302,"Cease, Dylan","603","100.0","0.176","0.176","0.239","0.352","0.263","0.255","0.169","22","125","89.1","22.5","2681","90.4","90.01","89","268","335","-0.4","6.07","111","153","112","150","297","320","300"
"602",592662,"Ray, Robbie","602","100.0","0.188","0.056","0.278","0.243","0.215","0.243","0.198","27","144","86.8","19.3","2204","90.9","90.89","100","311","291","0.0","6.42","105","153","118","147","303","318","289"
"597",668678,"Gallen, Zac","597","100.0","0.229","0.237","0.264","0.466","0.325","0.296","0.223","30","131","87.9","14.4","2209","89.8","90.50","58","271","326","0.7","6.70","112","155","117","151","293","325","293"
"596",623167,"Flexen, Chris","596","100.0","0.271","0.139","0.313","0.410","0.314","0.343","0.285","39","144","90.4","10.5","2152","87.7","87.29","55","281","315","-0.4","6.05","111","154","116","148","299","322","295"
"592",645261,"Alcantara, Sandy","592","100.0","0.212","0.151","0.280","0.363","0.274","0.292","0.229","31","146","86.5","2.9","2163","94.3","93.51","103","326","266","-0.8","5.90","107","151","118","149","301","318","288"
"582",594835,"Gonzales, Marco","582","100.0","0.184","0.128","0.193","0.312","0.229","0.244","0.210","26","141","86.2","19.4","2157","85.3","85.57","53","293","289","0.3","6.44","109","153","114","148","296","320","287"
"582",622491,"Castillo, Luis","582","100.0","0.259","0.215","0.326","0.474","0.341","0.271","0.211","35","135","86.8","-0.9","2180","93.5","92.38","87","299","283","-1.1","5.58","116","153","115","147","290","320","286"
"579",518516,"Bumgarner, Madison","579","100.0","0.250","0.169","0.274","0.419","0.307","0.306","0.253","37","148","85.6","12.4","2097","84.7","84.90","51","293","286","0.2","6.53","110","154","116","149","293","321","289"
"573",615698,"Quantrill, Cal","573","100.0","0.195","0.060","0.264","0.256","0.245","0.243","0.174","26","133","84.2","9.4","2041","90.4","91.00","68","276","297","0.6","6.41","110","153","118","150","288","313","291"
"565",425794,"Wainwright, Adam","565","100.0","0.185","0.096","0.233","0.280","0.218","0.272","0.242","29","157","88.3","9.7","2444","81.6","81.71","48","262","303","0.1","6.38","121","162","115","149","296","317","296"
"565",607200,"Fedde, Erick","565","100.0","0.289","0.156","0.371","0.445","0.340","0.338","0.270","37","128","88.1","7.8","1992","88.5","89.16","62","251","314","0.7","6.67","110","155","118","145","299","324","299"
"565",573186,"Stroman, Marcus","565","100.0","0.248","0.186","0.315","0.434","0.310","0.300","0.241","32","129","88.5","5.5","2292","88.9","88.57","73","259","306","-0.3","5.77","111","159","116","151","297","322","295"
"554",608337,"Giolito, Lucas","554","100.0","0.220","0.195","0.256","0.415","0.287","0.278","0.224","27","123","86.9","13.9","2000","87.3","87.98","99","272","282","0.7","6.71","110","154","113","150","297","320","299"
"550",450203,"Morton, Charlie","550","100.0","0.192","0.128","0.263","0.320","0.243","0.229","0.192","24","125","88.7","5.2","2588","88.6","88.49","67","254","296","-0.1","6.28","110","153","129","145","301","321","295"
"549",657277,"Webb, Logan","549","100.0","0.221","0.088","0.293","0.309","0.256","0.283","0.237","30","136","87.2","-5.2","1992","88.5","89.36","75","271","278","0.9","6.74","113","157","112","151","299","323","297"
"536",621244,"Berríos, José","536","100.0","0.295","0.147","0.385","0.442","0.341","0.315","0.258","38","129","89.5","14.0","2128","89.1","88.95","52","252","284","-0.2","6.39","109","154","121","149","295","316","300"
"533",668676,"Plesac, Zach","533","100.0","0.252","0.214","0.276","0.466","0.329","0.351","0.278","33","131","91.6","13.5","1899","88.5","88.40","56","262","271","-0.1","6.11","112","153","115","150","292","314","290"
"533",452657,"Lester, Jon","533","100.0","0.295","0.131","0.320","0.426","0.345","0.348","0.289","36","122","89.2","9.7","2136","84.8","85.01","48","239","294","0.2","6.37","108","153","120","146","300","322","296"
