"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Juan Soto","WSN","74","324","17","61","54","7","23.1%","14.2%",".265",".353",".335",".491",".600",".454","","184","-0.5","34.2","-0.5","4.5","20123"
"Bryce Harper","PHI","72","307","24","55","54","7","16.9%","17.9%",".387",".337",".331",".446",".718",".472","","196","-1.4","36.3","-2.8","4.4","11579"
"Nicky Lopez","KCR","69","278","2","35","26","12","6.5%","14.7%",".084",".385",".327",".376",".410",".345","","118","4.5","10.5","13.8","3.4","19339"
"Fernando Tatis Jr.","SDP","57","241","17","41","41","12","12.0%","27.0%",".314",".328",".281",".373",".595",".405","","158","4.6","22.4","2.7","3.3","19709"
"Brandon Lowe","TBR","65","267","20","49","52","2","12.4%","23.6%",".338",".293",".276",".375",".614",".410","","169","2.1","24.6","-1.9","3.2","18882"
"Starling Marte","- - -","67","296","6","48","29","35","6.4%","18.6%",".130",".388",".323",".380",".454",".361","","132","8.9","20.7","0.2","3.1","9241"
"Freddie Freeman","ATL","74","320","14","61","37","4","11.6%","12.2%",".209",".356",".339",".425",".549",".412","","156","1.3","24.2","-4.4","3.1","5361"
"Jorge Polanco","MIN","70","304","21","48","58","5","6.3%","17.8%",".296",".308",".304",".349",".600",".395","","153","0.9","20.8","-0.9","3.0","13152"
"Marcus Semien","TOR","74","329","21","53","52","6","9.1%","17.0%",".301",".250",".257",".328",".557",".371","","133","1.9","15.3","2.8","2.9","12533"
"Paul Goldschmidt","STL","70","308","15","42","46","7","11.4%","18.8%",".233",".350",".315",".390",".548",".396","","153","1.3","21.9","-3.3","2.9","9218"
"Teoscar Hernandez","TOR","74","304","17","57","60","7","5.9%","24.3%",".250",".376",".314",".368",".564",".395","","150","1.4","19.9","-1.9","2.8","13066"
"Brandon Crawford","SFG","57","238","4","26","32","5","9.7%","15.1%",".151",".394",".344",".403",".495",".382","","142","-0.5","12.2","7.5","2.8","5343"
"Trea Turner","- - -","62","271","10","52","27","12","6.6%","14.0%",".206",".342",".319",".369",".524",".378","","138","2.7","15.7","2.6","2.7","16252"
"Jose Ramirez","CLE","63","272","17","45","43","17","12.1%","15.4%",".297",".226",".242",".342",".538",".364","","132","4.1","14.8","3.1","2.7","13510"
