"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Vladimir Guerrero Jr.","TOR","70","300","23","54","59","2","14.3%","16.7%",".333",".344",".337",".440",".671",".458","","192","-1.1","32.8","-6.5","3.7","19611"
"Ronald Acuna Jr.","ATL","65","285","19","57","44","15","14.0%","22.5%",".316",".316",".291",".404",".607",".420","","162","3.2","25.6","1.2","3.6","18401"
"Carlos Correa","HOU","67","295","14","51","40","0","13.2%","16.3%",".233",".318",".296",".393",".530",".392","","154","-0.3","19.1","6.9","3.6","14162"
"Fernando Tatis Jr.","SDP","55","231","22","52","50","13","11.7%","28.1%",".390",".299",".285",".364",".675",".419","","167","4.3","24.1","2.6","3.4","19709"
"Cedric Mullins II","BAL","70","304","13","40","25","12","9.2%","18.8%",".233",".363",".319",".389",".552",".399","","154","1.7","21.7","1.2","3.3","17929"
"Marcus Semien","TOR","70","316","18","50","42","9","9.5%","24.1%",".244",".325",".283",".351",".527",".372","","134","2.0","15.1","2.7","2.9","12533"
"Matt Olson","OAK","67","281","20","45","53","1","10.3%","16.4%",".313",".297",".305",".381",".617",".412","","168","-0.4","23.2","-4.7","2.8","14344"
"Bryan Reynolds","PIT","68","282","12","41","36","1","12.4%","20.6%",".230",".351",".299",".394",".529",".393","","147","1.0","17.9","0.7","2.8","19326"
"Xander Bogaerts","BOS","67","282","13","41","42","4","8.9%","19.1%",".234",".356",".317",".379",".552",".392","","147","1.1","17.3","-0.1","2.7","12161"
"Jose Ramirez","CLE","68","278","16","48","44","6","10.4%","12.6%",".269",".253",".269",".353",".537",".370","","136","1.5","13.9","3.2","2.7","13510"
"Jose Altuve","HOU","60","284","16","53","39","2","9.9%","15.1%",".224",".296",".296",".363",".520",".371","","140","1.1","14.8","1.8","2.6","5417"
"Shohei Ohtani","LAA","70","272","23","48","54","10","10.7%","28.7%",".377",".302",".272",".357",".649",".412","","164","1.4","22.7","-5.8","2.6","19755"
"Brandon Crawford","SFG","63","235","16","39","48","5","11.1%","24.3%",".288",".261",".249",".336",".537",".363","","130","0.8","9.8","7.4","2.5","5343"
"Max Muncy","LAD","60","244","14","40","33","1","18.9%","20.5%",".264",".287",".264",".418",".528",".402","","155","1.0","18.1","-1.7","2.5","13301"
"Nick Castellanos","CIN","65","281","13","46","37","2","7.1%","19.9%",".247",".400",".344",".395",".591",".417","","157","-0.4","20.1","-5.6","2.4","11737"
"Jesse Winker","CIN","63","279","17","51","43","0","9.3%","16.5%",".269",".366",".341",".412",".610",".431","","166","-3.8","19.7","-5.2","2.4","13590"
"Trea Turner","WSN","69","300","11","37","32","15","5.7%","20.3%",".169",".365",".313",".357",".482",".359","","123","1.2","10.0","3.2","2.3","16252"
"Mark Canha","OAK","70","311","11","53","31","7","12.5%","21.2%",".198",".297",".252",".376",".450",".361","","134","1.2","14.2","-2.5","2.2","11445"
"Joey Gallo","TEX","67","280","12","36","32","6","19.3%","31.1%",".188",".298",".220",".379",".408",".350","","124","2.3","10.4","2.2","2.2","14128"
"Chris Taylor","LAD","66","267","10","53","37","7","13.9%","24.3%",".198",".331",".266",".386",".464",".369","","133","3.3","14.7","-2.0","2.2","13757"
"Justin Turner","LAD","66","280","12","43","38","0","12.5%","17.9%",".199",".309",".282",".375",".481",".369","","134","-0.7","11.2","1.0","2.2","5235"
"Yoan Moncada","CHW","66","282","5","31","33","1","15.6%","27.0%",".126",".388",".277",".401",".403",".358","","129","0.0","10.0","1.3","2.1","17232"
"Joey Wendle","TBR","65","234","7","40","32","5","6.0%","20.5%",".198",".346",".292",".350",".491",".357","","133","-0.8","8.7","4.2","2.1","13853"
"Adolis Garcia","TEX","61","251","18","32","48","7","4.0%","29.9%",".259",".320",".272",".303",".531",".350","","124","-0.9","6.5","5.8","2.1","19287"
"Aaron Judge","NYY","67","282","15","39","36","0","13.1%","27.3%",".218",".349",".280",".376",".498",".374","","140","-0.4","13.4","-2.6","2.0","15640"
"Adam Frazier","PIT","69","304","2","40","25","4","8.2%","10.9%",".128",".360",".322",".388",".451",".365","","129","-0.9","10.3","-0.2","2.0","15223"
"Nolan Arenado","STL","70","291","13","34","47","0","6.2%","14.1%",".230",".276",".271",".320",".502",".344","","118","-0.4","6.4","4.0","2.0","9777"
"Bo Bichette","TOR","70","311","14","59","47","10","5.8%","23.5%",".200",".328",".279",".325",".479",".343","","114","3.1","8.5","1.0","2.0","19612"
"Matt Chapman","OAK","72","291","8","32","32","1","13.1%","31.3%",".164",".309",".225",".326",".389",".312","","101","1.3","1.6","7.7","1.9","16505"
"Jared Walsh","LAA","70","282","18","40","51","2","8.2%","27.7%",".286",".350",".290",".355",".576",".388","","148","-0.1","16.4","-6.9","1.9","18607"
"Kris Bryant","CHC","66","272","13","41","39","3","9.9%","23.2%",".238",".327",".279",".360",".517",".372","","132","2.2","13.2","-3.2","1.9","15429"
"Yuli Gurriel","HOU","65","275","10","34","48","1","10.9%","9.8%",".198",".314",".316",".385",".515",".380","","145","-0.8","14.5","-4.8","1.9","19198"
"Rafael Devers","BOS","68","287","18","48","57","3","8.0%","25.8%",".293",".320",".278",".341",".571",".378","","137","-1.0","12.0","-3.3","1.9","17350"
"Tim Anderson","CHW","58","256","6","40","25","13","5.5%","23.4%",".125",".371",".296",".336",".421",".326","","108","3.0","5.4","4.2","1.8","15172"
