"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1587",545333,"Bauer, Trevor","1587","100.0","0.170","0.167","0.212","0.337","0.256","0.276","0.189","58","341","89.3","19.5","2846","87.9","81.61","213","724","863","-6.3","6.42","113","159","117","150","298","318","292"
"1475",669456,"Bieber, Shane","1475","100.0","0.232","0.151","0.337","0.383","0.301","0.299","0.223","80","345","89.7","9.2","2432","87.6","87.91","264","708","767","0.3","6.54","112","156","118","149","294","322","295"
"1450",501985,"Minor, Mike","1450","100.0","0.234","0.185","0.281","0.419","0.305","0.314","0.233","77","329","88.9","16.6","2521","86.8","85.83","178","688","762","-1.0","5.56","106","157","118","144","301","322","298"
"1419",554430,"Wheeler, Zack","1419","100.0","0.197","0.093","0.276","0.290","0.239","0.245","0.197","68","345","84.3","10.9","2345","94.0","94.71","204","728","691","0.7","7.13","112","152","116","149","297","324","294"
"1401",640455,"Manaea, Sean","1401","100.0","0.251","0.120","0.319","0.371","0.291","0.302","0.245","84","334","89.1","14.5","1845","88.2","89.38","193","712","689","1.2","7.13","109","150","121","150","302","327","300"
"1392",605135,"Bassitt, Chris","1392","100.0","0.218","0.140","0.274","0.358","0.278","0.285","0.225","75","344","88.3","12.3","2183","88.8","88.86","168","670","722","0.1","6.35","112","149","120","153","299","327","302"
"1388",650644,"Civale, Aaron","1388","100.0","0.229","0.188","0.248","0.418","0.297","0.326","0.266","78","340","87.7","11.5","2393","86.7","86.10","140","660","728","-0.6","5.75","114","155","120","151","295","323","298"
"1387",645261,"Alcantara, Sandy","1387","100.0","0.217","0.126","0.266","0.343","0.270","0.265","0.213","74","341","86.7","5.1","2288","93.8","93.15","204","728","659","-0.6","5.99","111","151","115","148","298","314","288"
"1380",605400,"Nola, Aaron","1380","100.0","0.253","0.168","0.320","0.421","0.312","0.312","0.246","83","328","88.6","11.7","2088","86.8","87.51","190","689","691","0.7","6.80","110","151","114","148","298","324","294"
"1379",543037,"Cole, Gerrit","1379","100.0","0.198","0.127","0.274","0.325","0.239","0.249","0.200","64","323","89.3","12.5","2497","91.8","92.00","217","681","698","0.2","6.52","111","157","119","150","300","327","288"
"1366",608337,"Giolito, Lucas","1366","100.0","0.207","0.211","0.253","0.418","0.296","0.285","0.214","63","304","87.6","20.1","2034","87.7","88.54","230","701","665","0.8","6.76","112","151","114","150","299","320","294"
"1362",425844,"Greinke, Zack","1362","100.0","0.248","0.152","0.273","0.399","0.296","0.313","0.263","85","343","87.5","12.8","2141","84.2","83.75","137","634","728","-0.4","5.94","114","156","118","151","290","325","292"
"1357",622491,"Castillo, Luis","1357","100.0","0.275","0.149","0.336","0.424","0.337","0.311","0.249","83","302","85.7","5.7","2193","92.0","90.69","176","660","697","-1.3","5.51","112","152","118","149","292","318","292"
"1356",543135,"Eovaldi, Nathan","1356","100.0","0.261","0.125","0.333","0.386","0.302","0.292","0.251","86","329","87.9","10.2","2103","90.9","91.40","169","703","653","0.5","6.60","112","156","118","148","287","322","299"
"1351",641154,"López, Pablo","1351","100.0","0.224","0.147","0.281","0.372","0.282","0.289","0.232","70","312","85.4","8.6","2100","90.3","91.00","167","688","663","0.7","6.74","110","152","118","149","295","317","289"
"1350",425794,"Wainwright, Adam","1350","100.0","0.223","0.149","0.266","0.372","0.288","0.298","0.237","72","323","87.5","7.2","2461","82.8","83.03","119","559","791","0.2","6.53","114","156","117","149","299","318","301"
"1348",621111,"Buehler, Walker","1348","100.0","0.196","0.134","0.232","0.329","0.250","0.291","0.232","63","322","86.4","11.6","2719","91.3","91.61","175","672","676","0.3","6.43","113","158","119","151","299","320","295"
"1344",601713,"Pivetta, Nick","1344","100.0","0.231","0.188","0.295","0.419","0.321","0.320","0.229","64","277","89.3","15.6","2396","89.1","89.25","159","640","704","0.2","6.50","111","155","118","148","288","325","299"
