"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"617",622491,"Castillo, Luis","617","100.0","0.209","0.082","0.278","0.291","0.271","0.294","0.218","28","134","87.4","2.7","2209","93.2","92.16","99","297","320","-1.0","5.56","114","152","119","146","290","319","294"
"576",664285,"Valdez, Framber","576","100.0","0.246","0.127","0.304","0.373","0.337","0.320","0.228","31","126","89.9","-6.6","2298","86.8","86.05","57","228","348","-0.8","5.92","109","152","115","148","293","321","288"
"561",543294,"Hendricks, Kyle","561","100.0","0.279","0.129","0.311","0.407","0.317","0.309","0.265","39","140","83.3","12.9","1995","83.4","82.79","43","269","292","-0.6","5.77","112","158","114","152","298","323","297"
"539",663776,"Sandoval, Patrick","539","100.0","0.162","0.077","0.230","0.239","0.238","0.250","0.179","19","117","82.4","5.4","2086","87.6","87.26","90","257","282","-0.3","5.98","109","156","117","148","304","325","292"
"523",554430,"Wheeler, Zack","523","100.0","0.258","0.117","0.333","0.375","0.287","0.265","0.240","33","128","84.0","2.2","2354","93.3","94.89","66","271","252","1.6","7.18","110","152","113","149","293","324","292"
"518",518876,"Kelly, Merrill","518","100.0","0.243","0.149","0.278","0.392","0.285","0.302","0.266","36","148","89.5","12.0","2254","89.1","88.96","54","278","240","-0.1","6.25","110","155","119","152","294","320","293"
"518",543475,"Lyles, Jordan","518","100.0","0.239","0.283","0.220","0.522","0.344","0.362","0.279","27","113","89.5","23.5","2380","88.3","89.04","53","261","257","0.7","6.75","114","158","126","148","300","323","290"
"517",621121,"McCullers Jr., Lance","517","100.0","0.231","0.128","0.351","0.359","0.300","0.236","0.177","27","117","86.6","8.1","2454","88.3","87.65","69","218","299","-0.7","5.94","111","154","117","151","289","319","289"
"514",543037,"Cole, Gerrit","514","100.0","0.236","0.118","0.371","0.355","0.287","0.291","0.214","26","110","90.4","14.6","2347","92.9","93.12","81","237","277","0.2","6.52","111","155","116","148","290","326","293"
"510",458681,"Lynn, Lance","510","100.0","0.228","0.096","0.296","0.325","0.271","0.265","0.215","26","114","84.5","12.4","2377","91.2","91.50","62","242","268","0.3","6.37","110","154","110","150","300","320","296"
