"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"616",621111,"Buehler, Walker","616","100.0","0.174","0.109","0.211","0.283","0.234","0.258","0.204","24","138","86.3","16.1","2568","91.3","91.59","74","310","306","0.3","6.34","112","158","121","154","299","316","295"
"591",641745,"Keller, Brad","591","100.0","0.367","0.172","0.400","0.539","0.418","0.413","0.336","47","128","89.2","8.1","2365","90.8","90.50","41","257","334","-0.3","5.85","106","156","119","145","301","325","308"
"586",601713,"Pivetta, Nick","586","100.0","0.252","0.285","0.293","0.537","0.367","0.333","0.231","31","123","91.4","17.6","2387","88.5","88.55","69","269","317","0.0","6.46","111","156","117","150","292","333","304"
"578",592662,"Ray, Robbie","578","100.0","0.226","0.128","0.333","0.353","0.274","0.283","0.219","30","133","90.3","14.3","2232","92.4","92.57","100","297","281","0.2","6.36","106","155","118","147","297","317","286"
"573",645261,"Alcantara, Sandy","573","100.0","0.239","0.113","0.276","0.352","0.281","0.299","0.243","38","159","85.2","2.2","2275","93.8","93.11","64","310","263","-0.7","5.92","107","151","112","148","300","318","286"
"571",501985,"Minor, Mike","571","100.0","0.295","0.215","0.322","0.510","0.357","0.352","0.278","44","149","89.4","19.9","2458","86.9","85.90","70","292","279","-1.0","5.54","104","158","122","144","303","325","306"
"571",605135,"Bassitt, Chris","571","100.0","0.215","0.133","0.258","0.348","0.277","0.296","0.235","29","135","87.2","13.6","2143","88.6","88.89","57","255","316","0.3","6.38","112","149","119","152","298","329","299"
"559",661269,"Gutierrez, Vladimir","559","100.0","0.256","0.225","0.268","0.481","0.351","0.368","0.275","33","129","88.0","14.5","2278","86.0","86.13","64","255","304","0.1","6.47","113","153","120","147","293","317","297"
"554",677651,"Garcia, Luis","554","100.0","0.240","0.116","0.319","0.357","0.284","0.279","0.217","31","129","88.5","16.5","2308","87.5","87.24","84","269","285","-0.3","6.14","115","156","118","152","292","324","294"
"549",605400,"Nola, Aaron","549","100.0","0.292","0.233","0.394","0.525","0.373","0.355","0.281","35","120","88.6","9.4","2115","86.6","87.28","75","277","272","0.7","6.78","107","151","112","147","298","325","293"
