"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"636",545333,"Bauer, Trevor","636","100.0","0.163","0.186","0.192","0.349","0.265","0.309","0.194","21","129","88.6","19.6","2889","88.2","88.04","82","279","357","-0.2","6.40","114","160","119","150","297","318","291"
"619",650644,"Civale, Aaron","619","100.0","0.258","0.219","0.275","0.477","0.325","0.357","0.294","39","151","89.2","13.9","2443","87.2","86.50","64","299","320","-0.7","5.67","115","155","121","150","298","322","297"
"604",554430,"Wheeler, Zack","604","100.0","0.194","0.084","0.289","0.277","0.221","0.226","0.188","30","155","82.8","7.1","2334","94.3","95.68","91","315","289","1.4","7.17","113","153","116","150","295","324","293"
"599",608337,"Giolito, Lucas","599","100.0","0.187","0.179","0.235","0.366","0.272","0.270","0.199","25","134","87.7","20.9","2005","87.4","88.19","104","299","300","0.8","6.72","111","151","113","149","298","319","295"
"596",453286,"Scherzer, Max","596","100.0","0.157","0.119","0.222","0.276","0.218","0.234","0.171","21","134","87.7","17.3","2347","89.6","89.58","115","302","294","0.0","6.31","109","154","120","151","303","327","297"
"596",605540,"Woodruff, Brandon","596","100.0","0.141","0.077","0.189","0.218","0.188","0.248","0.194","20","142","83.1","4.2","2393","92.2","91.21","86","300","296","-1.0","6.45","110","156","117","150","300","322","298"
"593",621244,"Berríos, José","593","100.0","0.245","0.217","0.287","0.462","0.324","0.346","0.270","35","143","87.3","8.0","2220","89.4","89.45","73","285","308","0.0","6.42","108","156","117","149","299","327","298"
"587",656427,"Flaherty, Jack","587","100.0","0.200","0.120","0.256","0.320","0.267","0.340","0.248","25","125","88.5","13.6","2327","88.7","89.44","85","272","315","0.7","6.70","115","157","117","149","293","315","293"
"576",605513,"Turnbull, Spencer","576","100.0","0.215","0.031","0.277","0.246","0.252","0.270","0.210","28","130","87.3","4.9","2418","90.6","90.81","61","277","299","0.2","6.35","106","152","116","147","301","329","300"
"576",501985,"Minor, Mike","576","100.0","0.206","0.111","0.286","0.317","0.264","0.266","0.201","26","126","87.9","14.5","2524","86.9","85.90","65","266","310","-1.0","5.58","106","157","118","144","299","322","298"
"567",593423,"Montas, Frankie","567","100.0","0.261","0.159","0.326","0.420","0.316","0.317","0.248","36","138","90.4","17.8","2380","93.3","92.92","71","300","267","-0.4","6.01","110","150","121","151","298","327","303"
"566",621107,"Eflin, Zach","566","100.0","0.280","0.210","0.351","0.490","0.334","0.284","0.239","40","143","87.0","14.4","2063","89.3","90.02","68","289","277","0.7","6.77","110","152","115","147","298","322","294"
"564",458681,"Lynn, Lance","564","100.0","0.143","0.109","0.163","0.252","0.218","0.276","0.193","17","119","87.4","20.9","2452","91.6","91.91","73","271","293","0.3","6.36","110","153","116","150","298","319","296"
"564",571927,"Matz, Steven","564","100.0","0.293","0.150","0.380","0.444","0.335","0.306","0.259","39","133","88.0","7.4","2205","89.2","89.43","68","269","295","0.2","6.41","105","154","119","148","292","316","284"
"562",592314,"Foltynewicz, Mike","562","100.0","0.276","0.149","0.295","0.425","0.328","0.331","0.275","37","134","90.6","18.7","2206","89.3","89.07","39","263","299","-0.2","6.15","111","155","120","147","297","332","295"
