"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"607",592662,"Ray, Robbie","607","100.0","0.218","0.282","0.268","0.500","0.336","0.320","0.204","27","124","91.0","23.2","2237","92.0","92.02","103","326","281","0.0","6.49","106","154","118","147","299","324","294"
"588",543037,"Cole, Gerrit","588","100.0","0.282","0.221","0.369","0.504","0.351","0.316","0.237","37","131","88.6","10.8","2423","92.8","92.99","92","292","296","0.2","6.51","111","150","121","146","292","323","290"
"587",621244,"Berríos, José","587","100.0","0.186","0.186","0.223","0.371","0.259","0.307","0.235","26","140","88.2","13.2","2135","89.3","89.32","69","276","311","0.0","6.41","110","153","137","147","296","328","298"
"585",425794,"Wainwright, Adam","585","100.0","0.239","0.109","0.252","0.348","0.281","0.307","0.263","33","138","85.5","8.5","2394","82.7","82.80","47","266","319","0.1","6.46","116","158","118","148","300","325","300"
"579",608331,"Fried, Max","579","100.0","0.162","0.127","0.194","0.289","0.212","0.258","0.218","23","142","84.8","1.4","2267","86.4","86.38","74","295","284","0.0","6.32","109","152","118","149","303","321","292"
"578",669302,"Gilbert, Logan","578","100.0","0.205","0.142","0.239","0.346","0.257","0.317","0.250","26","127","89.0","24.1","2181","90.8","92.53","80","299","279","1.7","7.31","112","156","116","148","294","318","294"
"566",453286,"Scherzer, Max","566","100.0","0.197","0.109","0.271","0.306","0.223","0.232","0.207","29","147","86.7","19.3","2279","88.7","88.71","102","309","257","0.0","6.21","113","156","112","149","296","318","291"
"558",593423,"Montas, Frankie","558","100.0","0.193","0.148","0.239","0.341","0.272","0.304","0.229","26","135","86.6","6.7","2159","92.9","92.38","81","279","279","-0.5","5.92","110","151","118","150","296","325","301"
"548",506433,"Darvish, Yu","548","100.0","0.246","0.246","0.301","0.491","0.343","0.312","0.215","28","114","88.6","14.7","2571","87.5","87.41","61","250","298","-0.1","6.30","114","152","138","138","300","318","313"
"536",592332,"Gausman, Kevin","536","100.0","0.276","0.224","0.366","0.500","0.331","0.309","0.264","37","134","91.1","11.5","2034","90.2","90.63","103","311","225","0.4","6.46","112","154","114","149","300","329","297"
